city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Năvodari,44.3208,28.6125,Romania,RO,Constanţa,,32981,32981
Mioveni,44.9553,24.9356,Romania,RO,Argeş,,31998,31998
Borşa,47.6553,24.6631,Romania,RO,Maramureş,,27611,27611
Pantelimon,44.4528,26.2036,Romania,RO,Ilfov,,25596,25596
Olteniţa,44.0864,26.6364,Romania,RO,Călăraşi,,24822,24822
Turnu Măgurele,43.7517,24.8708,Romania,RO,Teleorman,,24772,24772
Zărneşti,45.5725,25.3431,Romania,RO,Braşov,,23476,23476
Petrila,45.4511,23.3981,Romania,RO,Hunedoara,,22692,22692
Buftea,44.5700,25.9500,Romania,RO,Ilfov,,22178,22178
Popeşti-Leordeni,44.3800,26.1700,Romania,RO,Ilfov,,21895,21895
Cugir,45.8436,23.3636,Romania,RO,Alba,,21376,21376
Carei,47.6900,22.4700,Romania,RO,Satu Mare,,21112,21112
Comăneşti,46.4132,26.4362,Romania,RO,Bacău,,19568,19568
Târgu Neamţ,47.2025,26.3586,Romania,RO,Neamţ,,18695,18695
Balş,44.3542,24.0986,Romania,RO,Olt,,18164,18164
Băicoi,45.0453,25.8658,Romania,RO,Prahova,,17981,17981
Salonta,46.8000,21.6500,Romania,RO,Bihor,,17735,17735
Calafat,43.9858,22.9575,Romania,RO,Dolj,,17336,17336
Cernavodă,44.3381,28.0336,Romania,RO,Ialomiţa,,17022,17022
Filiaşi,44.5539,23.5290,Romania,RO,Dolj,,16900,16900
Corabia,43.7736,24.5033,Romania,RO,Olt,,16441,16441
Breaza,45.1872,25.6622,Romania,RO,Prahova,,15928,15928
Bocşa,45.3747,21.7106,Romania,RO,Caraş-Severin,,15842,15842
Baia-Sprie,47.6608,23.6886,Romania,RO,Maramureş,,15476,15476
Bragadiru,44.3694,25.9753,Romania,RO,Ilfov,,15329,15329
Luduş,46.4778,24.0961,Romania,RO,Mureş,,15328,15328
Vişeu de Sus,47.7111,24.4264,Romania,RO,Maramureş,,15037,15037
Râşnov,45.5931,25.4603,Romania,RO,Braşov,,15022,15022
Buhuşi,46.7150,26.7042,Romania,RO,Bacău,,14562,14562
Ştefăneşti,44.8717,24.9527,Romania,RO,Argeş,,14541,14541
Şimleu Silvaniei,47.2300,22.8000,Romania,RO,Sălaj,,14436,14436
Mizil,45.0000,26.4406,Romania,RO,Prahova,,14312,14312
Cisnădie,45.7128,24.1508,Romania,RO,Sibiu,,14282,14282
Pucioasa,45.0742,25.4342,Romania,RO,Dâmboviţa,,14254,14254
Chitila,44.5172,25.9753,Romania,RO,Ilfov,,14184,14184
Zimnicea,43.6539,25.3650,Romania,RO,Teleorman,,14058,14058
Otopeni,44.5500,26.0700,Romania,RO,Ilfov,,13861,13861
Ovidiu,44.2700,28.5600,Romania,RO,Constanţa,,13847,13847
Gura Humorului,47.5542,25.8875,Romania,RO,Suceava,,13667,13667
Jimbolia,45.7917,20.7222,Romania,RO,Timiş,,13597,13597
Găeşti,44.7208,25.3147,Romania,RO,Dâmboviţa,,13317,13317
Vicovu de Sus,47.9258,25.6800,Romania,RO,Suceava,,13308,13308
Ţăndărei,44.6403,27.6586,Romania,RO,Ialomiţa,,13219,13219
Ocna Mureş,46.3900,23.8600,Romania,RO,Alba,,13036,13036
Bolintin Vale,44.4472,25.7572,Romania,RO,Giurgiu,,12929,12929
Avrig,45.7081,24.4000,Romania,RO,Sibiu,,12815,12815
Pecica,46.1700,21.0700,Romania,RO,Arad,,12762,12762
Simeria,45.8500,23.0100,Romania,RO,Hunedoara,,12556,12556
Moldova Nouă,44.7347,21.6664,Romania,RO,Caraş-Severin,,12350,12350
Sânnicolau Mare,46.0722,20.6294,Romania,RO,Timiş,,12312,12312
Dărmăneşti,46.3700,26.4797,Romania,RO,Bacău,,12247,12247
Dăbuleni,43.8011,24.0919,Romania,RO,Dolj,,12175,12175
Comarnic,45.2511,25.6353,Romania,RO,Prahova,,11970,11970
Negreşti-Oaş,47.8694,23.4242,Romania,RO,Satu Mare,,11867,11867
Rovinari,44.9125,23.1622,Romania,RO,Gorj,,11816,11816
Scorniceşti,44.5700,24.5500,Romania,RO,Olt,,11766,11766
Târgu Lăpuş,47.4525,23.8631,Romania,RO,Maramureş,,11744,11744
Vălenii de Munte,45.1856,26.0397,Romania,RO,Prahova,,11707,11707
Săcueni,47.3525,22.0914,Romania,RO,Bihor,,11526,11526
Videle,44.2833,25.5333,Romania,RO,Teleorman,,11508,11508
Sântana,46.3500,21.5000,Romania,RO,Arad,,11428,11428
Oraviţa,45.0333,21.6833,Romania,RO,Caraş-Severin,,11382,11382
Târgu Ocna,46.2803,26.6094,Romania,RO,Bacău,,11300,11300
Călan,45.7361,23.0086,Romania,RO,Hunedoara,,11279,11279
